X,Y,temp,wind,rain,fire
7,5,8.2,6.7,0,0
7,4,18,0.9,0,0
7,4,14.6,1.3,0,0
8,6,8.3,4,0.2,0
8,6,11.4,1.8,0,0
8,6,22.2,5.4,0,0
8,6,24.1,3.1,0,1
8,6,8,2.2,0,0
8,6,13.1,5.4,0,0
7,5,22.8,4,0,0
7,5,17.8,7.2,0,0
7,5,19.3,4,0,0
6,5,17,6.7,0,0
6,5,21.3,2.2,0,0
6,5,26.4,4.5,0,1
6,5,22.9,5.4,0,0
5,5,15.1,5.4,0,0
8,5,16.7,4.9,0,0
6,4,15.9,4,0,0
6,4,9.3,4.5,0,0
6,4,18.3,2.7,0,0
5,4,19.1,2.7,0,0
7,4,21,4.5,0,0
7,4,19.5,5.8,0,0
7,4,23.7,5.8,0,0
7,4,16.3,5.4,0,0
7,4,19,5.8,0,0
7,4,19.4,1.3,0,0
6,3,30.2,2.7,0,1
6,3,22.8,3.6,0,0
6,3,25.4,3.6,0,0
6,3,11.2,7.6,0,0
6,3,20.6,1.8,0,0
6,3,17.7,3.6,0,0
6,3,21.2,2.7,0,0
6,3,18.2,4.5,0,0
6,3,21.7,4.5,0,0
7,4,11.3,5.4,0,0
7,3,17.8,4,0,0
4,4,14.1,2.7,0,0
4,4,23.3,3.1,0,0
4,4,18.4,6.7,0,0
4,4,16.6,5.4,0,0
4,4,19.6,2.7,0,0
4,4,12.9,4.9,0,0
5,6,25.9,4,0,1
5,6,14.7,3.6,0,0
6,6,23,3.1,0,0
4,4,11.8,1.8,0,0
4,4,11,5.8,0,0
4,4,20.8,1.3,0,0
4,3,21.5,2.2,0,0
4,3,20.4,4.9,0,0
4,3,20.4,4.9,0,0
4,3,17.6,3.6,0,0
4,3,27.7,2.2,0,0
4,3,17.8,4.9,0,0
4,3,13.8,2.7,0,0
2,2,13.9,5.4,0,0
2,2,12.3,0.9,0,0
2,2,11.5,5.8,0,0
2,2,5.5,6.3,0,0
2,2,18.8,4.9,0,0
2,2,20.8,2.7,0,0
2,2,23.1,3.1,0,0
2,2,18.6,4.5,0,0
2,2,23,4.5,0,0
2,2,19.6,5.4,0,0
2,2,19.6,6.3,0,0
4,5,17.2,4.5,0,0
4,5,15.8,7.6,0,0
4,5,17.7,3.6,0,0
5,4,15.6,6.3,0,0
5,4,17.3,4.5,0,0
5,4,27.6,1.3,0,1
9,9,6.7,3.1,0,0
9,9,15.7,3.1,0,0
1,3,8.3,3.1,0,0
1,2,14.7,2.7,0,0
1,2,21.6,6.7,0,0
1,2,19.5,6.3,0,0
1,2,17.9,2.2,0,0
1,2,18.6,4.5,0,0
1,2,16.6,0.9,0,0
1,2,20.2,3.6,0,0
1,2,21.5,0.9,0,0
1,2,25.4,2.2,0,1
1,2,22.4,2.2,0,0
1,2,25.3,3.6,0,1
6,5,17.4,4.9,0,0
6,5,14.7,5.8,0,0
8,6,17.4,5.4,0,0
8,6,20.8,6.3,0,0
8,6,18.2,4.9,0,0
8,6,23.4,2.7,0,0
4,4,17.8,1.3,0,0
3,4,12.7,1.8,0,0
3,4,17.4,5.4,0,0
3,4,11.6,4.5,0,0
3,4,19.8,5.4,0,0
3,4,19.8,5.4,0,0
3,4,14.4,5.4,0,0
2,4,20.1,4,0,0
2,4,24.1,4.5,0,1
2,4,5.3,3.1,0,0
4,5,12.7,6.3,0,0
4,5,18.2,3.1,0,0
4,5,21.4,3.1,0,0
4,5,20.3,3.1,0,0
4,5,17.4,5.4,0,0
4,4,13.7,5.8,0,0
3,4,18.8,4.5,0,0
3,4,22.8,3.6,0,0
3,4,18.9,2.7,0,0
3,4,15.8,7.6,0,0
3,5,15.5,6.3,0,0
3,4,11.6,6.3,0,0
3,4,15.2,4.9,0,0
3,4,10.6,4,0,0
3,4,19.6,3.1,0,0
3,4,10.3,2.2,0,0
3,4,17.1,5.4,0,0
3,4,22.5,5.4,0,0
3,4,17.9,3.1,0,0
3,4,19.8,5.4,0,0
3,4,20.6,5.4,0,0
3,5,9,2.2,0,0
3,5,17.2,3.1,0,0
3,5,15.9,3.6,0,0
2,5,15.4,0.9,0,0
4,6,15.4,2.7,0,0
4,6,14,3.1,0,0
4,6,10.6,4.9,0,0
4,6,17.6,3.1,0,0
3,5,14.9,2.7,0,0
3,5,17.6,5.8,0,0
3,6,17.2,1.3,0,0
3,6,15.6,3.1,0,0
9,9,18,2.7,0,0
1,4,21.7,2.2,0,0
2,5,21.9,1.8,0,0
